,player_id,player_name
243,243,Florian Heller
244,244,Andreas Ivanschitz
245,245,André Schürrle
246,246,Marcel Risse
247,247,Ádám Szalai
248,248,Daniel Haas
249,249,Sebastian Rudy
250,250,Hanno Balitsch
251,251,Nicolai Jörgensen
252,252,Lukasz Piszczek
253,253,Sven Bender
254,254,Eric Maxim Choupo-Moting
255,255,Bamba Anderson
256,256,Maximilian Nicu
257,257,Ilkay Gündogan
258,258,Christian Eigler
259,259,Adam Matuszczyk
260,260,Danijel Pranjic
261,261,Lukas Schmitz
262,262,José Manuel Jurado
263,263,Martin Harnik
264,264,Chris
265,265,Ralph Gunesch
266,266,Fin Bartels
267,267,Charles Takyi
268,268,Wesley
269,269,Peter Pekarik
270,270,Lars Stindl
271,271,Tomás Rincón
272,272,Robert Tesche
273,273,Sebastian Schachten
274,274,Raúl Bobadilla
275,275,Ömer Toprak
276,276,Pascal Bieler
277,277,Stefano Celozzi
278,278,Mamadou Bah
279,279,Miro Varvodic
280,280,Anatoliy Tymoshchuk
281,281,Edson Braafheid
282,282,Andreas Ottl
283,283,Hamit Altintop
284,284,Mario Gómez
285,285,Marco Caligiuri
286,286,Florian Lechner
287,287,Max Kruse
288,288,Gerald Asamoah
289,289,Marwin Hitz
290,290,Clemens Walch
291,291,Andreas Ibertsberger
292,292,Collin Benjamin
293,293,Jens Wissing
294,294,Igor de Camargo
295,295,Anton Putilo
296,296,Kisho Yano
297,297,Christopher Avevor
298,298,Constant Djakpa
299,299,Simon Rolfes
300,300,Martín Demichelis
301,301,Sebastian Mielitz
302,302,Ashkan Dejagah
303,303,Mathias Abel
304,304,Alexander Bugera
305,305,Pierre De Wit
306,306,Jan Moravek
307,307,Iliyan Mitsanski
308,308,Gylfi Sigurdsson
309,309,Chinedu Obasi
310,310,Jaroslav Drobny
311,311,Gojko Kacar
312,312,Christofer Heimeroth
313,313,Danny Williams
314,314,Mario Eggimann
315,315,Patrick Funk
316,316,Daniel Jensen
317,317,Sandro Wagner
318,318,Thanos Petsos
319,319,Bastian Schulz
320,320,Stiven Rivic
321,321,Dennis Daube
322,322,Haruna Babangida
323,323,Boris Vukcevic
324,324,Sofian Chahed
325,325,Jan Schlaudraff
326,326,Dominic Maroh
327,327,Dario Vidosic
328,328,Malik Fathi
329,329,Breno
330,330,Heung-min Son
331,331,Tunay Torun
332,332,Dominik Schmidt
333,333,Felix Kroos
334,334,Fabio Morena
335,335,Moritz Volz
336,336,Philipp Degen
337,337,Tolga Cigerci
338,338,Aleksandar Vasoski
339,339,Jan-Ingwer Callsen-Bracker
340,340,Marvin Plattenhardt
341,341,Almog Cohen
342,342,Robert Mak
343,343,Dennis Aogo
344,344,Alexander Madlung
345,345,Ricardo Clark
346,346,Philipp Wollscheid
347,347,Fabian Giefer
348,348,Ermin Bicakcic
349,349,Arne Friedrich
350,350,Kevin Kraus
351,351,Chadli Amri
352,352,Änis Ben-Hatira
353,353,Thomas Kraft
354,354,Arjen Robben
355,355,Antônio da Silva
356,356,Robert Lewandowski
357,357,Heinz Müller
358,358,Johannes Flum
359,359,Erik Jendrisek
360,360,Ron-Robert Zieler
361,361,Michael Rensing
362,362,Christian Eichner
363,363,Slawomir Peszko
364,364,Martin Stranzl
365,365,Håvard Nordtveit
366,366,Mike Hanke
367,367,David Alaba
368,368,Kyriakos Papadopoulos
369,369,Christian Pander
370,370,Markus Mendler
371,371,Martin Fenin
372,372,Felipe Santana
373,373,Ryan Babel
374,374,Anthony Annan
375,375,Tamás Hajnal
376,376,Élson
377,377,Jan Polak
378,378,Tuncay Sanli
379,379,Adam Hlousek
380,380,Timothy Chandler
381,381,Jan Kirchhoff
382,382,Petar Sliskovic
383,383,Dieumerci Mbokani
384,384,Sergio Escudero
385,385,Matthias Jaissle
386,386,Jan-Philipp Kalla
387,387,Sebastian Rode
388,388,Florian Trinks
389,389,Shinji Okazaki
390,390,Tony Jantschke
391,391,Michael Fink
392,392,Mario Gavranovic
393,393,Kevin Trapp
394,394,Dennis Diekmeier
395,395,Benedikt Pliquett
396,396,Denni Avdic
397,397,Roberto Firmino
398,398,Sonny Kittel
399,399,Pavel Krmas
400,400,Marc-André ter Stegen
401,401,Adil Chihi
402,402,Junmin Hao
403,403,Vasilios Pliatsikas
404,404,Danilo Avelar
405,405,Julian Draxler
406,406,Julian Dudda
407,407,Marcel Heller
408,408,Marcel Eger
409,409,Altin Lala
410,410,Chris Löwe
411,411,Sokratis Papastathopoulos
412,412,Markus Rosenberg
413,413,Lennart Thy
414,414,Francisco Rodríguez
415,415,William Kvist
416,416,Simon Jentzsch
417,417,Uwe Möhrle
418,418,Jonas De Roeck
419,419,Marcel de Jong
420,420,Paul Verhaegh
421,421,Lorenzo Davids
422,422,Marcel Ndjeng
423,423,Daniel Baier
424,424,Tobias Werner
425,425,Sascha Mölders
426,426,Andre Mijatovic
427,427,Levan Kobiashvili
428,428,Christian Lell
429,429,Peter Niemeyer
430,430,Patrick Ebert
431,431,Adrián Ramos
432,432,Pierre-Michel Lasogga
433,433,Zdenek Pospech
434,434,Zoltán Stieber
435,435,Jérôme Boateng
436,436,Rafinha
437,437,Michael Mancienne
438,438,Jeffrey Bruma
439,439,Per Ciljan Skjelbred
440,440,Gökhan Töre
441,441,Timm Klose
442,442,Markus Feulner
443,443,Alexander Esswein
444,444,Tomas Pekhart
445,445,Fabian Johnson
446,446,Hasan Salihamidzic
447,447,Marco Höger
448,448,Olcay Sahan
449,449,Richard Sukuta-Pasu
450,450,Itay Shechter
451,451,Bernd Leno
452,452,Gibril Sankoh
453,453,Andrew Sinkala
454,454,Hajime Hosogai
455,455,Axel Bellinghausen
456,456,Akaki Gogia
457,457,Roman Hubnik
458,458,Raffael
459,459,Slobodan Rajković
460,460,Patrick Rakovsky
461,461,Julian Wießmeier
462,462,Aleksandar Ignjovski
463,463,Henrique Sereno
464,464,Sotiris Kyrgiakos
465,465,Rasmus Jönsson
466,466,Beg Ferati
467,467,Alexander Stephan
468,468,Dominik Kaiser
469,469,Henning Hauger
470,470,Julian Baumgartlinger
471,471,Nicolai Müller
472,472,Daniel Brinkmann
473,473,Nando Rafael
474,474,Dorge Kouemaha
475,475,Ivan Perisic
476,476,Christoph Janker
477,477,Zhi Gin Lam
478,478,Naldo
479,479,Bjarne Thoelke
480,480,Yohandry Orozco
481,481,Andreas Hinkel
482,482,Ammar Jemal
483,483,Sebastian Langkamp
484,484,Dominik Reinhardt
485,485,Fabian Lustenberger
486,486,Garra Dembélé
487,487,Lars Unnerstall
488,488,Aleksandr Hleb
489,489,Yunus Malli
490,490,Anthony Ujah
491,491,Marcus Berg
492,492,Moritz Leitner
493,493,Nikita Rukavytsya
494,494,Mohamed Amsif
495,495,Konstantinos Fortounis
496,496,Jonathan Schmid
497,497,Ja-cheol Koo
498,498,Ibrahima Traoré
499,499,Jannik Vestergaard
500,500,Teemu Pukki
501,501,Torsten Oehrl
502,502,Felipe Lopes
503,503,Ricardo Rodríguez
504,504,Petr Jiracek
505,505,Vieirinha
506,506,Fallou Diagne
507,507,Michael Lumb
508,508,Oliver Sorg
509,509,Jan Simunek
510,510,Jakub Swierczok
511,511,Danny da Costa
512,512,François Affolter
513,513,Florian Hartherz
514,514,Tom Trybull
515,515,Antonio Rüdiger
516,516,Sebastian Neumann
517,517,Alfredo Morales
518,518,Vedran Corluka
519,519,Ibrahim Sissoko
520,520,Sebastian Polter
521,521,Knowledge Musona
522,522,Jacopo Sala
523,523,Immanuel Höhn
524,524,Anthar Yahia
525,525,Ariel Borysiuk
526,526,Giovanni Sio
527,527,Mohamed Zidan
528,528,Zlatko Junuzovic
529,529,Gotoku Sakai
530,530,Ivan Santini
531,531,Mame Diouf
532,532,Odise Roshi
533,533,Matthias Ostrzolek
534,534,Julian-Maurice Derstroff
535,535,Fanol Perdedaj
536,536,Oscar Wendt
537,537,Stephan Hain
538,538,Timo Hildebrand
539,539,Tolgay Arslan
540,540,Niclas Füllkrug
541,541,Matthias Ginter
542,542,Karim Guédé
543,543,Sven Schipplock
544,544,Mikael Ishak
545,545,Michael Ortega
546,546,Aleksandar Stevanovic
547,547,Fabian Holland
548,548,Andrew Wooten
549,549,Sven Neuhaus
550,550,Takashi Usami
551,551,Granit Xhaka
552,552,Alexander Ring
553,553,Luuk de Jong
554,554,Aristide Bancé
555,555,Max Grün
556,556,Mergim Mavraj
557,557,Thomas Kleine
558,558,Heinrich Schmidtgal
559,559,Bernd Nehrig
560,560,Stephan Fürstner
561,561,Edgar Prib
562,562,Sebastian Tyrala
563,563,Sercan Sararer
564,564,Felix Klaus
565,565,Djiby Fall
566,566,Takashi Inui
567,567,Stefan Aigner
568,568,Olivier Occéan
569,569,Tim Hoogland
570,570,Felipe Trevizan
571,571,Leon Andreasen
572,572,Stephan Schröck
573,573,Kevin Volland
574,574,Hiroshi Kiyotake
575,575,Theodor Gebre Selassie
576,576,Kevin De Bruyne
577,577,Nils Petersen
578,578,Daniel Carvajal
579,579,Stelios Malezas
580,580,Jens Langeneke
581,581,Johannes van den Bergh
582,582,Adam Bodzek
583,583,Oliver Fink
584,584,Robbie Kruse
585,585,Andriy Voronin
586,586,Fagner
